time,a1,sigma,e,a2,J2,a1rate,e1rate,a2rate
4.410000e+05,4.635672e+00,2.644748e+00,4.035305e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.510000e+05,4.635672e+00,2.648029e+00,4.037601e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.610000e+05,4.635672e+00,2.650429e+00,4.039890e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.710000e+05,4.635672e+00,2.651952e+00,4.042174e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.810000e+05,4.635672e+00,2.652597e+00,4.044456e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.910000e+05,4.635672e+00,2.652366e+00,4.046738e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.010000e+05,4.635672e+00,2.651257e+00,4.049023e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.110000e+05,4.635672e+00,2.649269e+00,4.051314e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.210000e+05,4.635672e+00,2.646398e+00,4.053613e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.310000e+05,4.635672e+00,2.642642e+00,4.055924e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.410000e+05,4.635672e+00,2.637995e+00,4.058248e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.510000e+05,4.635672e+00,2.632452e+00,4.060588e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.610000e+05,4.635672e+00,2.626005e+00,4.062946e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.710000e+05,4.635672e+00,2.618647e+00,4.065326e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.810000e+05,4.635672e+00,2.610370e+00,4.067728e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.910000e+05,4.635672e+00,2.601164e+00,4.070154e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.010000e+05,4.635672e+00,2.591019e+00,4.072607e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.110000e+05,4.635672e+00,2.579925e+00,4.075088e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.210000e+05,4.635672e+00,2.567871e+00,4.077598e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.310000e+05,4.635672e+00,2.554846e+00,4.080137e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.410000e+05,4.635672e+00,2.540837e+00,4.082707e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.510000e+05,4.635672e+00,2.525832e+00,4.085307e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.610000e+05,4.635672e+00,2.509821e+00,4.087936e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.710000e+05,4.635672e+00,2.492791e+00,4.090595e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.810000e+05,4.635672e+00,2.474732e+00,4.093282e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.910000e+05,4.635672e+00,2.455632e+00,4.095994e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.010000e+05,4.635672e+00,2.435483e+00,4.098729e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.110000e+05,4.635672e+00,2.414275e+00,4.101483e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.210000e+05,4.635672e+00,2.392003e+00,4.104253e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.310000e+05,4.635672e+00,2.368660e+00,4.107034e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.410000e+05,4.635672e+00,2.344244e+00,4.109819e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.510000e+05,4.635672e+00,2.318753e+00,4.112603e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.610000e+05,4.635672e+00,2.292189e+00,4.115377e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.710000e+05,4.635672e+00,2.264559e+00,4.118133e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.810000e+05,4.635672e+00,2.235869e+00,4.120861e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.910000e+05,4.635672e+00,2.206133e+00,4.123553e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
