t,a,e,omega,Omega,res,M2
3.569615201300370e+05,4.634799498898327e+00,3.941356047097784e-01,-1.498494388081287e+00,0.000000e+00,1.790891e+00,2.923969e-01
3.648939983567583e+05,4.634871286699273e+00,3.941668054388657e-01,-1.252551515128492e+00,0.000000e+00,1.795797e+00,5.432451e-01
3.728264765834796e+05,4.635187910679160e+00,3.942548946576681e-01,-1.006575592081697e+00,0.000000e+00,1.800669e+00,7.940933e-01
3.807589548102009e+05,4.635596693287162e+00,3.943645559957137e-01,-7.599524407440471e-01,0.000000e+00,1.804894e+00,1.044941e+00
3.886914330369222e+05,4.634983448982100e+00,3.942383737368967e-01,-5.137203961869671e-01,0.000000e+00,1.809510e+00,1.295790e+00
3.966239112636435e+05,4.634827123513018e+00,3.942180626522778e-01,-2.677510583252423e-01,0.000000e+00,1.814389e+00,1.546638e+00
4.045563894903648e+05,4.634787774807198e+00,3.942250988521445e-01,-2.176561170227122e-02,0.000000e+00,1.819252e+00,1.797486e+00
4.124888677170860e+05,4.634781870706522e+00,3.942401353760910e-01,2.242338446214743e-01,0.000000e+00,1.824100e+00,2.048334e+00
4.204213459438073e+05,4.634800799808812e+00,3.942611555537773e-01,4.702393366430653e-01,0.000000e+00,1.828943e+00,2.299182e+00
4.283538241705286e+05,4.634876438557005e+00,3.942955289337756e-01,7.162429265522765e-01,0.000000e+00,1.833788e+00,2.550030e+00
4.362863023972499e+05,4.635212694428157e+00,3.943903880836812e-01,9.622875591711132e-01,0.000000e+00,1.838591e+00,2.800879e+00
4.442187806239712e+05,4.635571591595698e+00,3.944907349740423e-01,1.208998654297027e+00,0.000000e+00,1.842728e+00,3.051727e+00
4.521512588506925e+05,4.634971843757654e+00,3.943699608536359e-01,1.455264659921677e+00,0.000000e+00,-4.435875e+00,-2.980610e+00
4.600837370774138e+05,4.634824371936459e+00,3.943539243903936e-01,1.701299156136316e+00,0.000000e+00,-4.431061e+00,-2.729762e+00
4.680162153041351e+05,4.634787013746269e+00,3.943636193579003e-01,1.947351568903325e+00,0.000000e+00,-4.426265e+00,-2.478914e+00
4.759486935308563e+05,4.634782021647134e+00,3.943810483693875e-01,2.193418711531219e+00,0.000000e+00,-4.421484e+00,-2.228065e+00
4.838811717575776e+05,4.634802169260861e+00,3.944045157459132e-01,2.439492618772612e+00,0.000000e+00,-4.416710e+00,-1.977217e+00
4.918136499842989e+05,4.634881931081564e+00,3.944419871568967e-01,2.685565434166122e+00,0.000000e+00,-4.411934e+00,-1.726369e+00
4.997461282110202e+05,4.635239054146905e+00,3.945437642012681e-01,2.931688365224481e+00,0.000000e+00,-4.407209e+00,-1.475520e+00
5.076786064377415e+05,4.635543845380853e+00,3.946337075044292e-01,-3.104692573583325e+00,0.000000e+00,1.880021e+00,-1.224672e+00
