t,a,e,omega,Omega,res,M2
5.711388288030023e+05,4.635494768043916e+00,3.946952087945491e-01,-1.137310756945157e+00,0.000000e+00,1.919437e+00,7.821264e-01
5.870037852564448e+05,4.635266609660747e+00,3.946841361554919e-01,-6.449781274311721e-01,0.000000e+00,1.928801e+00,1.283823e+00
6.028687417098874e+05,4.635230095884750e+00,3.947182713229543e-01,-1.526026038123398e-01,0.000000e+00,1.938122e+00,1.785519e+00
6.187333015394186e+05,4.635235037350435e+00,3.947628873470502e-01,3.398286037351648e-01,0.000000e+00,1.947374e+00,2.287203e+00
6.345982579928612e+05,4.635264195487596e+00,3.948139639651509e-01,8.322962267957464e-01,0.000000e+00,1.956603e+00,2.788900e+00
6.504632144463038e+05,4.635349958018531e+00,3.948789371268970e-01,1.324797913242036e+00,0.000000e+00,-4.317387e+00,-2.992589e+00
6.663281708997464e+05,4.635688684802907e+00,3.950030732313307e-01,1.817373105067997e+00,0.000000e+00,-4.308266e+00,-2.490893e+00
6.821931273531889e+05,4.636101704154536e+00,3.951451457293474e-01,2.310631291080474e+00,0.000000e+00,-4.299828e+00,-1.989196e+00
6.980580838066315e+05,4.635508964162974e+00,3.950563396656760e-01,2.803536935738076e+00,0.000000e+00,-4.291037e+00,-1.487500e+00
7.139230402600741e+05,4.635359148502106e+00,3.950704162419659e-01,-2.986962618798491e+00,0.000000e+00,2.001160e+00,-9.858031e-01
7.297879967135167e+05,4.635327482213718e+00,3.951125563614764e-01,-2.494222297579263e+00,0.000000e+00,2.010116e+00,-4.841066e-01
7.456529531669592e+05,4.635328322744256e+00,3.951629797806337e-01,-2.001426311907512e+00,0.000000e+00,2.019016e+00,1.758991e-02
7.615179096204018e+05,4.635346962891842e+00,3.952182493002050e-01,-1.508579877419789e+00,0.000000e+00,2.027866e+00,5.192864e-01
7.773828660738444e+05,4.635388671232788e+00,3.952795402907886e-01,-1.015687246299369e+00,0.000000e+00,2.036670e+00,1.020983e+00
7.932478225272869e+05,4.635488162370687e+00,3.953548217158190e-01,-5.227510486984807e-01,0.000000e+00,2.045430e+00,1.522679e+00
8.091127789807295e+05,4.635789953402412e+00,3.954773295172835e-01,-2.973131856882055e-02,0.000000e+00,2.054107e+00,2.024376e+00
8.249777354341721e+05,4.636287701589036e+00,3.956455292384702e-01,4.637682728767071e-01,0.000000e+00,2.062304e+00,2.526072e+00
8.408426918876147e+05,4.635824482901675e+00,3.955933707806314e-01,9.573117793446625e-01,0.000000e+00,2.070457e+00,3.027768e+00
8.567076483410572e+05,4.635552593613475e+00,3.955858307202072e-01,1.450495374726882e+00,0.000000e+00,-4.204216e+00,-2.753720e+00
8.725726047944998e+05,4.635473125795876e+00,3.956231772723179e-01,1.943698889195894e+00,0.000000e+00,-4.195723e+00,-2.252024e+00
8.884375612479424e+05,4.635450134163117e+00,3.956741281710041e-01,2.436963059470933e+00,0.000000e+00,-4.187290e+00,-1.750327e+00
9.043025177013850e+05,4.635448066449217e+00,3.957304820285070e-01,2.930287196730120e+00,0.000000e+00,-4.178918e+00,-1.248631e+00
9.201674741548275e+05,4.635456777048464e+00,3.957898778847050e-01,-2.859516067949011e+00,0.000000e+00,2.112582e+00,-7.469341e-01
9.360324306082701e+05,4.635473709552146e+00,3.958516996516346e-01,-2.366077506158653e+00,0.000000e+00,2.120840e+00,-2.452376e-01
9.518973870617127e+05,4.635500084757923e+00,3.959162001044988e-01,-1.872583456826957e+00,0.000000e+00,2.129042e+00,2.564589e-01
9.677623435151553e+05,4.635541290032580e+00,3.959845908693354e-01,-1.379034751200478e+00,0.000000e+00,2.137190e+00,7.581553e-01
9.836272999685978e+05,4.635610939594045e+00,3.960599760184023e-01,-8.854312042285136e-01,0.000000e+00,2.145283e+00,1.259852e+00
9.994922564220404e+05,4.635741902078354e+00,3.961498766684284e-01,-3.917661589924391e-01,0.000000e+00,2.153314e+00,1.761548e+00
1.015357212875483e+06,4.635999582264403e+00,3.962692673185609e-01,1.020007159619270e-01,0.000000e+00,2.161244e+00,2.263245e+00
1.031222169328926e+06,4.636364807929775e+00,3.964136964184301e-01,5.960073994585436e-01,0.000000e+00,2.168934e+00,2.764941e+00
1.047087125782368e+06,4.636391424399724e+00,3.964808441672058e-01,1.090258953074218e+00,0.000000e+00,-4.106807e+00,-3.016548e+00
1.062952082235811e+06,4.636088215576708e+00,3.964727596259971e-01,1.584388479905495e+00,0.000000e+00,-4.099240e+00,-2.514851e+00
1.078817038689253e+06,4.635867779456523e+00,3.964840249623863e-01,2.078408882232369e+00,0.000000e+00,-4.091564e+00,-2.013155e+00
1.094681995142696e+06,4.635756161788645e+00,3.965206027798515e-01,2.572442852453518e+00,0.000000e+00,-4.083901e+00,-1.511458e+00
1.110546951596138e+06,4.635701685645077e+00,3.965706291734087e-01,3.066529758016937e+00,0.000000e+00,-4.076291e+00,-1.009762e+00
1.126411908049581e+06,4.635675406232462e+00,3.966274487354280e-01,-2.722506949533007e+00,0.000000e+00,2.214442e+00,-5.080652e-01
1.142276864503023e+06,4.635663905216442e+00,3.966879645376775e-01,-2.228294977600671e+00,0.000000e+00,2.221926e+00,-6.368659e-03
1.158141820956466e+06,4.635660747396326e+00,3.967506788120813e-01,-1.734019454885193e+00,0.000000e+00,2.229347e+00,4.953278e-01
1.174006777409909e+06,4.635662633211649e+00,3.968148110133356e-01,-1.239680461938565e+00,0.000000e+00,2.236705e+00,9.970242e-01
1.189871733863351e+06,4.635667738080397e+00,3.968799207047083e-01,-7.452780791640506e-01,0.000000e+00,2.243999e+00,1.498721e+00
1.205736690316794e+06,4.635674983304614e+00,3.969457400611473e-01,-2.508123278586797e-01,0.000000e+00,2.251229e+00,2.000417e+00
1.221601646770236e+06,4.635683687741260e+00,3.970120980876696e-01,2.437168169989073e-01,0.000000e+00,2.258397e+00,2.502113e+00
1.237466603223679e+06,4.635693402707625e+00,3.970788783550850e-01,7.383094274811864e-01,0.000000e+00,2.265500e+00,3.003810e+00
1.253331559677121e+06,4.635703824047193e+00,3.971459989619608e-01,1.232965604811851e+00,0.000000e+00,-4.010645e+00,-2.777679e+00
1.269196516130564e+06,4.635714725032782e+00,3.972133992253886e-01,1.727685478070438e+00,0.000000e+00,-4.003668e+00,-2.275982e+00
1.285061472584007e+06,4.635725950732490e+00,3.972810339500273e-01,2.222469195658912e+00,0.000000e+00,-3.996755e+00,-1.774286e+00
1.300926429037449e+06,4.635737388579100e+00,3.973488666092679e-01,2.717316908817584e+00,0.000000e+00,-3.989906e+00,-1.272589e+00
1.316791385490892e+06,4.635748970120466e+00,3.974168689041458e-01,-3.070956538337147e+00,0.000000e+00,2.300064e+00,-7.708927e-01
1.332656341944334e+06,4.635760671120760e+00,3.974850190789763e-01,-2.575980395484903e+00,0.000000e+00,2.306784e+00,-2.691962e-01
1.348521298397777e+06,4.635772507044237e+00,3.975533025258137e-01,-2.080939850519088e+00,0.000000e+00,2.313440e+00,2.325003e-01
1.364386254851219e+06,4.635784516800728e+00,3.976217121344186e-01,-1.585834810088803e+00,0.000000e+00,2.320032e+00,7.341967e-01
1.380251211304662e+06,4.635796801125551e+00,3.976902514309805e-01,-1.090665193767618e+00,0.000000e+00,2.326558e+00,1.235893e+00
1.396116167758105e+06,4.635809495498038e+00,3.977589361447229e-01,-5.954309407121546e-01,0.000000e+00,2.333020e+00,1.737590e+00
1.411981124211547e+06,4.635822791586929e+00,3.978277978460116e-01,-1.001319873031134e-01,0.000000e+00,2.339418e+00,2.239286e+00
1.427846080664990e+06,4.635836959926269e+00,3.978968881758919e-01,3.952317426985482e-01,0.000000e+00,2.345751e+00,2.740982e+00
1.443711037118432e+06,4.635852380678014e+00,3.979662872812003e-01,8.906603579763456e-01,0.000000e+00,-3.931167e+00,-3.040506e+00
1.459575993571875e+06,4.635869615270860e+00,3.980361190105815e-01,1.386154015001734e+00,0.000000e+00,-3.924964e+00,-2.538810e+00
1.475440950025317e+06,4.635889550029922e+00,3.981065790670810e-01,1.881712936907720e+00,0.000000e+00,-3.918826e+00,-2.037113e+00
1.491305906478760e+06,4.635913637905770e+00,3.981779930719390e-01,2.377337422428125e+00,0.000000e+00,-3.912754e+00,-1.535417e+00
1.507170862932203e+06,4.635944450850043e+00,3.982509363267863e-01,2.873027833951679e+00,0.000000e+00,-3.906748e+00,-1.033720e+00
